Card Member,Age,Annual Income,Spending Score (1-100)
Yes,19.0,15000,39.0
Yes,21.0,15000,81.0
No,20.0,16000,6.0
No,23.0,16000,77.0
No,31.0,17000,40.0
No,22.0,17000,76.0
No,35.0,18000,6.0
No,23.0,18000,94.0
Yes,64.0,19000,3.0
No,30.0,19000,72.0
Yes,67.0,19000,14.0
No,35.0,19000,99.0
No,58.0,20000,15.0
No,24.0,20000,77.0
Yes,37.0,20000,13.0
Yes,22.0,20000,79.0
No,35.0,21000,35.0
Yes,20.0,21000,66.0
Yes,52.0,23000,29.0
No,35.0,23000,98.0
Yes,35.0,24000,35.0
Yes,25.0,24000,73.0
No,46.0,25000,5.0
Yes,31.0,25000,73.0
No,54.0,28000,14.0
Yes,29.0,28000,82.0
No,45.0,28000,32.0
Yes,35.0,28000,61.0
No,40.0,29000,31.0
No,23.0,29000,87.0
Yes,60.0,30000,4.0
No,21.0,30000,73.0
Yes,53.0,33000,4.0
Yes,18.0,33000,92.0
No,49.0,33000,14.0
No,21.0,33000,81.0
No,42.0,34000,17.0
No,30.0,34000,73.0
No,36.0,37000,26.0
No,20.0,37000,75.0
No,65.0,38000,35.0
Yes,24.0,38000,92.0
Yes,48.0,39000,36.0
No,31.0,39000,61.0
No,49.0,39000,28.0
No,24.0,39000,65.0
No,50.0,40000,55.0
No,27.0,40000,47.0
No,29.0,40000,42.0
No,31.0,40000,42.0
No,49.0,42000,52.0
Yes,33.0,42000,60.0
No,31.0,43000,54.0
Yes,59.0,43000,60.0
No,50.0,43000,45.0
Yes,47.0,43000,41.0
No,51.0,44000,50.0
Yes,69.0,44000,46.0
No,27.0,46000,51.0
Yes,53.0,46000,46.0
Yes,70.0,46000,56.0
Yes,19.0,46000,55.0
No,67.0,47000,52.0
No,54.0,47000,59.0
Yes,63.0,48000,51.0
Yes,18.0,48000,59.0
No,43.0,48000,50.0
No,68.0,48000,48.0
Yes,19.0,48000,59.0
No,32.0,48000,47.0
Yes,70.0,49000,55.0
No,47.0,49000,42.0
No,60.0,50000,49.0
No,60.0,50000,56.0
Yes,59.0,54000,47.0
Yes,26.0,54000,54.0
No,45.0,54000,53.0
Yes,40.0,54000,48.0
No,23.0,54000,52.0
No,49.0,54000,42.0
Yes,57.0,54000,51.0
Yes,38.0,54000,55.0
Yes,67.0,54000,41.0
No,46.0,54000,44.0
No,21.0,54000,57.0
Yes,48.0,54000,46.0
No,55.0,57000,58.0
No,22.0,57000,55.0
No,34.0,58000,60.0
No,50.0,58000,46.0
No,68.0,59000,55.0
Yes,18.0,59000,41.0
Yes,48.0,60000,49.0
No,40.0,60000,40.0
No,32.0,60000,42.0
Yes,24.0,60000,52.0
No,47.0,60000,47.0
No,27.0,60000,50.0
Yes,48.0,61000,42.0
Yes,20.0,61000,49.0
No,23.0,62000,41.0
No,49.0,62000,48.0
Yes,67.0,62000,59.0
Yes,26.0,62000,55.0
Yes,49.0,62000,56.0
No,21.0,62000,42.0
No,66.0,63000,50.0
Yes,54.0,63000,46.0
Yes,68.0,63000,43.0
Yes,66.0,63000,48.0
Yes,65.0,63000,52.0
No,19.0,63000,54.0
No,38.0,64000,42.0
Yes,19.0,64000,46.0
No,18.0,65000,48.0
No,19.0,65000,50.0
No,63.0,65000,43.0
No,49.0,65000,59.0
No,51.0,67000,43.0
No,50.0,67000,57.0
Yes,27.0,67000,56.0
No,38.0,67000,40.0
No,40.0,69000,58.0
Yes,39.0,69000,91.0
No,23.0,70000,29.0
No,31.0,70000,77.0
Yes,43.0,71000,35.0
Yes,40.0,71000,95.0
Yes,59.0,71000,11.0
Yes,38.0,71000,75.0
Yes,47.0,71000,9.0
Yes,39.0,71000,75.0
No,25.0,72000,34.0
No,31.0,72000,71.0
Yes,20.0,73000,5.0
No,29.0,73000,88.0
No,44.0,73000,7.0
Yes,32.0,73000,73.0
Yes,19.0,74000,10.0
No,35.0,74000,72.0
No,57.0,75000,5.0
Yes,32.0,75000,93.0
No,28.0,76000,40.0
No,32.0,76000,87.0
Yes,25.0,77000,12.0
Yes,28.0,77000,97.0
Yes,48.0,77000,36.0
No,32.0,77000,74.0
No,34.0,78000,22.0
Yes,34.0,78000,90.0
Yes,43.0,78000,17.0
Yes,39.0,78000,88.0
No,44.0,78000,20.0
No,38.0,78000,76.0
No,47.0,78000,16.0
No,27.0,78000,89.0
Yes,37.0,78000,1.0
No,30.0,78000,78.0
Yes,34.0,78000,1.0
No,30.0,78000,73.0
No,56.0,79000,35.0
No,29.0,79000,83.0
Yes,19.0,81000,5.0
No,31.0,81000,93.0
Yes,50.0,85000,26.0
No,36.0,85000,75.0
Yes,42.0,86000,20.0
No,33.0,86000,95.0
No,36.0,87000,27.0
Yes,32.0,87000,63.0
Yes,40.0,87000,13.0
Yes,28.0,87000,75.0
Yes,36.0,87000,10.0
Yes,36.0,87000,92.0
No,52.0,88000,13.0
No,30.0,88000,86.0
